Invoice,Order_Revenue,Items_in_Order,Unique_Products
489811,634.29,515,9
489812,597.6899999999999,85,25
489814,811.53,503,84
489815,110.05,35,8
489816,284.55,258,27
489817,340.2,132,3
489818,294.3,102,14
489819,618.4300000000001,465,13
489822,371.27000000000004,103,54
489823,87.30000000000001,42,6
489824,176.88,127,44
489825,174.1,94,10
489826,85.95,17,10
489827,445.7,382,23
489829,472.47,237,8
489830,628.14,240,62
489831,1008.0,480,1
489832,313.27,121,54
489833,150.68,79,24
489834,214.8,24,1
489835,714.0,280,2
489837,507.47,268,43
489840,89.69999999999999,6,1
489855,157.91,56,28
489862,734.7,150,4
489863,66.82,21,18
489864,206.85,79,3
489865,234.87,53,18
489866,987.73,577,109
489868,675.0,248,14
489869,39.980000000000004,27,17
489870,162.1,118,3
489871,735.7,274,5
489872,632.9,320,22
489873,10.2,12,1
489874,176.6,144,12
489875,525.71,217,92
489876,39.85,22,18
489877,368.1,162,4
489878,140.16,55,36
489879,163.47,138,42
489880,380.28,552,22
489883,578.28,263,27
489884,3.61,19,1
489888,597.4,660,26
489889,4734.24,3200,20
489890,976.8,592,3
489891,181.08,144,6
489893,300.1,98,9
489894,520.2,396,27
489895,371.82,266,22
489896,337.93,227,20
489897,260.44,176,13
489900,287.37,253,19
489902,119.10000000000001,18,4
489904,203.78,150,13
489905,478.7,242,19
489906,120.0,96,4
489907,202.06,104,11
489908,107.33,41,6
489909,642.2,428,16
489910,144.0,288,1
489912,1146.1000000000001,578,58
489913,69.6,16,3
489914,993.0,508,29
489915,54.6,36,2
489916,336.0,212,9
489932,82.60000000000001,48,6
489935,181.65,31,2
489994,430.9,142,4
489996,320.40000000000003,514,5
489998,321.65000000000003,93,17
489999,154.2,72,7
490000,143.06,89,12
490001,169.5,94,2
490002,114.55,115,28
490003,317.55,163,12
490004,912.5600000000001,224,9
490005,556.75,203,25
490006,344.40000000000003,150,19
490008,502.28,256,63
490009,285.09,100,29
490010,1008.0,480,1
490011,221.69,138,43
490012,763.35,339,27
490013,500.55,395,33
490014,740.46,406,91
490017,393.65,267,97
490018,4380.0,17520,4
490019,308.6,116,15
490020,37.8,14,3
490021,10.2,12,1
490022,45.60000000000001,24,3
490023,189.15,49,4
490024,215.0,121,48
490034,69.82,30,11
490045,180.39,109,22
490046,228.3,66,7
490047,263.85,131,27
490048,1146.71,681,34
490049,102.0,40,1
490050,13.5,2,1
490052,831.0,408,42
490053,119.53999999999999,101,17
490054,277.5,186,7
490056,61.12,56,16
490057,360.52000000000004,184,20
490058,47.85,27,2
490059,14475.0,4825,9
490060,314.22,148,17
490061,4000.0,2000,4
490062,165.3,86,8
490063,204.3,113,46
490064,355.59000000000003,215,19
490065,1260.0,600,1
490066,372.20000000000005,212,7
490067,952.61,412,24
490068,284.3,90,9
490069,161.4,60,5
490070,236.25,68,5
490071,294.85,111,19
490072,187.15,69,29
490073,258.1,172,13
490075,381.0,84,4
490077,115.50999999999999,65,6
490078,584.35,159,28
490079,160.35,85,10
490080,311.7,126,15
490081,723.09,323,20
490082,337.9,262,7
490083,2506.14,1132,61
490085,170.06,108,15
490086,799.2,432,1
490087,898.1800000000001,668,51
490088,17.0,2,2
490089,466.2000000000001,252,1
490090,41.18,23,15
490091,636.0,600,1
490092,510.87,297,23
490093,1794.7,896,64
490094,851.76,504,1
490095,186.36,54,12
490097,273.52,144,35
490099,1225.98,526,74
490100,869.9300000000001,403,83
490101,338.5,150,11
490106,314.37,275,20
490107,110.69999999999999,30,8
490108,239.68,444,5
490109,415.0,204,20
490110,30.15,13,2
490111,319.96000000000004,220,29
490112,313.19,161,20
490113,39.2,16,11
490114,257.62,160,21
490115,342.6,316,12
490116,122.4,48,4
490118,317.04,151,46
490119,108.75,75,1
490121,112.03,65,32
490124,304.92,106,43
490125,297.05,109,9
490127,569.1800000000001,203,33
490128,236.70000000000002,150,13
490132,197.3,89,12
490134,151.65,59,25
490135,387.87,127,18
490136,159.95,69,39
490137,160.69,104,21
490138,339.78,198,14
490139,210.55,79,13
490140,407.22,227,42
490141,308.75,158,18
490142,1261.0,356,14
490143,1610.52,1687,76
490144,337.1,152,18
490145,989.1800000000001,439,39
490147,510.64,472,8
490151,160.39,117,14
490152,682.65,238,29
490154,288.79,110,46
490156,455.36,262,6
490157,138.0,40,1
490158,508.26,281,22
490159,19.5,2,2
490160,244.8,96,1
490161,825.94,653,59
490162,280.2,206,26
490163,141.63,115,17
490164,1058.4,632,41
490166,371.85,175,12
490167,312.21,241,8
490171,29.28,32,5
490202,410.0,188,20
490209,908.0400000000001,484,5
490212,108.95,41,12
490214,319.15,201,20
490218,67.67999999999999,48,3
490219,155.65,63,7
490229,1185.16,713,34
490247,351.3,208,11
490258,20.4,24,1
490266,231.2,50,8
490272,519.89,272,56
490277,1077.6000000000001,600,10
490279,297.68,154,71
490281,311.2,148,16
490282,107.95,43,7
490284,429.66,209,42
490285,373.74,210,7
490286,762.1,147,53
490287,367.1,218,14
490288,332.16,112,3
490289,273.75,143,20
490290,164.03,85,10
490291,424.03,173,38
490292,426.43,150,50
490293,137.4,130,14
490294,378.96,298,61
490295,435.88,504,17
490297,694.2,328,14
490298,1523.2,954,40
490299,618.27,192,43
490300,237.99,172,70
490301,345.27,93,9
490302,300.32,126,65
490303,106.25,55,7
490304,843.01,339,46
490305,726.57,289,31
490308,194.53,85,16
490310,231.90000000000003,42,4
490311,307.65000000000003,201,22
490312,326.13,352,61
490313,137.95000000000002,49,6
490320,867.89,1327,9
490323,235.44,200,64
490324,672.0,320,2
490326,149.1,62,10
490327,990.0,600,2
490331,298.99,115,58
490340,630.39,363,47
490341,334.65,270,19
490342,130.8,96,4
490346,216.6,156,16
490347,109.4,68,8
490349,32.25,9,3
490353,494.63,378,36
490355,538.1099999999999,287,4
490356,117.13000000000001,103,9
490359,59.5,10,1
490360,126.8,34,21
490362,205.35,199,32
490363,138.24,192,1
490364,103.95,25,6
490365,351.6,120,5
490366,227.25,147,14
490367,79.6,8,2
490368,159.1,18,2
490369,230.2,44,4
490370,452.95,177,26
490371,233.71,185,14
490372,434.15,95,15
490373,502.54,146,18
490374,136.75,65,9
490375,350.55,185,20
490376,796.55,389,24
490377,15.0,12,1
490378,224.1,134,15
490380,478.74,142,18
490381,97.11,141,7
490382,760.69,397,32
490383,148.3,50,4
490385,130.32,348,5
490386,549.77,473,33
490387,450.84000000000003,130,18
490388,146.62,84,9
490389,689.5,611,33
490390,256.2,104,8
490391,304.1,100,11
490392,203.32,56,9
490393,281.02,281,19
490394,870.2800000000001,260,18
490395,283.15,167,13
490396,269.15,77,15
490397,309.1,142,18
490398,567.71,236,29
490399,441.63,115,23
490400,689.9,183,49
490401,139.25,49,13
490403,291.09,135,69
490404,188.69,33,23
490405,260.65,57,21
490408,413.44000000000005,128,15
490430,253.55,83,13
490458,817.4399999999999,388,23
490459,947.39,414,51
490461,710.84,380,114
490463,305.5,50,8
490464,118.25999999999999,43,16
490465,918.35,466,66
490466,183.6,79,21
490467,280.94,169,44
490468,204.24,164,12
490470,242.96,166,48
490471,212.13,71,29
490472,619.24,340,29
490473,204.65,185,25
490474,748.42,336,35
490476,211.62,98,3
490477,533.14,158,18
490478,298.25,128,41
490479,1450.2,778,35
490481,21.25,5,2
490482,289.3,147,25
490483,132.4,28,10
490484,186.6,44,4
490485,125.94,63,17
490486,90.0,72,1
490487,81.3,32,11
490488,647.82,503,32
490489,266.19,87,24
490490,546.48,312,85
490491,175.20000000000002,85,6
490493,12.75,3,1
490494,189.7,80,51
490496,666.61,335,50
490499,406.7,356,21
490500,355.13,188,30
490501,283.14,422,31
490502,101.4,26,19
490503,498.02,207,37
490504,385.96999999999997,94,24
490505,98.16,34,15
490506,25.46,47,11
490508,450.84000000000003,130,18
490511,626.6,208,18
490512,235.13,85,49
490514,137.75,47,23
490515,147.4,38,9
490516,504.54,146,18
490518,474.32000000000005,290,15
490519,213.65,89,13
490521,235.84,102,15
490522,150.4,56,8
490524,436.18,234,24
490525,255.00000000000003,92,11
490526,533.97,315,28
490527,182.01,105,10
490528,115.05,49,24
490529,48.89,28,14
490530,161.8,56,5
490531,166.95,95,15
490533,368.15,229,41
490534,245.63,120,39
490535,560.58,182,18
490536,221.9,78,10
490537,209.41,149,16
490538,504.54,146,18
490539,346.0,188,13
490542,716.35,120,20
490545,34.0,4,1
490547,311.2,88,12
490548,504.54,146,18
490557,463.0,318,21
490561,41.3,14,1
490563,808.12,372,28
490564,367.9,132,11
490569,411.20000000000005,122,9
490577,187.19,112,14
490603,274.54,145,34
490604,682.4,612,8
490605,191.74,88,14
490606,426.0,98,15
490607,173.55,71,10
490608,163.77,74,30
490609,218.33,166,46
490610,211.62,150,15
490611,312.65,135,12
490612,610.95,441,41
490613,224.98000000000002,96,17
490616,214.79999999999998,128,6
490618,44.7,22,2
490625,339.8,84,5
490636,425.09000000000003,164,42
490637,452.16,236,11
490638,147.1,58,4
490640,321.00000000000006,156,8
490641,51.0,60,2
490642,446.4,315,24
490653,990.48,396,11
490657,208.82999999999998,119,27
490659,380.84000000000003,112,16
490665,76.5,30,3
490667,228.4,118,45
490668,312.33000000000004,199,6
490669,214.17000000000002,68,27
490670,143.70000000000002,63,11
490671,488.16,144,1
490672,660.96,504,2
490673,156.5,62,7
490674,242.1,106,14
490675,637.14,206,15
490676,451.44000000000005,122,17
490677,151.72,100,10
490678,380.65000000000003,93,12
490679,371.51,332,45
490680,293.35,245,21
490681,164.75,65,44
490682,285.9,68,5
490683,413.00000000000006,304,15
490684,74.56,62,4
490685,1028.07,996,82
490686,153.28,106,9
490687,924.95,325,40
490689,307.91,133,18
490690,207.9,58,3
490691,306.0,72,1
490692,195.78,203,20
490693,190.47,97,56
490694,1244.3200000000002,408,22
490695,108.4,40,15
490697,378.84000000000003,112,16
490703,154.2,76,8
490704,355.38,90,3
490705,204.0,80,2
490706,1086.53,330,36
490707,45.9,70,16
490708,241.05,95,13
490709,188.89000000000001,112,54
490710,332.70000000000005,84,5
490711,448.96,148,73
490712,331.40000000000003,100,20
490714,4.95,1,1
490717,449.95,209,41
490718,485.31,182,21
490719,665.15,441,75
490720,357.87,85,5
490722,386.39,217,25
490724,716.04,306,12
490725,343.44,308,4
490726,561.5999999999999,288,3
490727,285.35,146,34
490728,221.51999999999998,198,27
490733,412.6,71,7
490734,306.55,105,9
490737,389.62,264,15
490738,25.5,10,1
490747,8.92,3,2
490749,580.6400000000001,268,10
490750,312.96000000000004,192,3
490751,1429.83,309,17
490752,356.40000000000003,96,5
490753,322.65,215,22
490754,302.78000000000003,138,20
490755,338.34000000000003,216,11
490757,425.59000000000003,221,20
490759,182.88,48,1
490760,10.0,1,1
490761,255.04000000000002,123,16
490762,323.39,241,13
490763,1020.0,400,1
490764,306.45,107,10
490767,44.32,22,13
490769,221.0,180,3
490770,135.94,65,15
490782,707.9300000000001,255,28
490785,2590.8,984,2
490786,30.599999999999998,36,3
490789,192.54999999999998,89,9
490796,870.63,273,26
490797,155.7,90,8
490800,7.800000000000001,12,1
490801,660.0,400,2
490802,19.5,10,1
490803,207.32,148,6
490804,487.09000000000003,319,33
490805,215.0,94,12
490806,39.400000000000006,13,2
490808,134.04,91,22
490809,159.0,48,3
490810,259.92,128,3
490811,309.7,246,17
490817,1806.19,762,56
490823,304.8,288,10
490834,559.98,324,40
490836,2.9,2,1
490838,20.25,3,3
490846,129.3,272,10
490847,249.64,371,9
490851,311.8,90,10
490855,363.6,216,2
490863,88.05,59,12
490871,211.41,315,22
490881,10.0,1,1
490893,111.24000000000001,76,12
490899,792.84,473,47
490905,656.85,461,53
490917,312.9,74,12
490920,109.08,22,14
490921,42.300000000000004,12,2
490922,114.3,30,1
490924,123.1,91,25
490925,648.5,277,14
490926,249.17,121,34
490927,304.20000000000005,84,6
490928,404.44,145,49
490930,81.12,48,1
490932,12.4,8,1
490933,2452.56,888,8
490936,366.9,172,19
490937,2285.58,1376,75
490938,207.65,132,31
490940,0.95,1,1
490941,628.62,188,60
490944,151.2,48,2
490945,97.55,21,15
490948,15.0,1,1
490953,966.6600000000001,428,57
490954,102.82,103,14
490956,2442.7200000000003,1392,6
490957,3796.3700000000003,1749,153
490958,328.8,120,6
490959,507.90000000000003,138,16
490961,194.75,161,8
490962,683.14,430,4
490964,104.15,51,51
490966,432.96000000000004,100,31
490968,484.0,276,8
490971,372.64,224,9
490972,728.05,413,23
490978,193.07999999999998,140,34
490981,313.45,103,15
490982,8.82,4,2
490984,303.45,162,9
490989,462.46,282,22
490990,263.4,102,63
490992,438.74,168,21
490998,379.13,232,14
490999,24.65,2,1
491006,272.5,130,18
491007,213.27,226,13
491008,191.89,87,7
491009,255.68,208,23
491010,318.0,320,16
491011,389.99,213,8
491014,549.09,285,27
491024,383.03999999999996,144,6
491025,325.44,96,1
491026,162.72,48,1
491033,328.02000000000004,174,8
491034,305.5,122,10
491035,295.35,81,18
491038,528.9,172,23
491039,301.0,60,5
491044,234.38,74,16
491045,303.2,64,4
491048,519.42,262,22
491049,748.9,678,15
491050,333.8,196,21
491051,408.51000000000005,261,24
491054,320.2,108,8
491055,219.55,65,9
491056,1007.74,358,11
491057,77.8,28,5
491058,307.95,193,13
491059,285.3,174,2
491060,392.4,72,2
491061,233.53,81,12
491062,124.0,80,3
491063,203.3,46,8
491064,181.45,66,48
491067,333.3,338,4
491068,700.4,267,51
491069,521.05,418,19
491070,383.8,68,9
491071,194.10000000000002,106,5
491072,15.45,5,5
491073,95.75999999999999,324,5
491074,23.6,8,1
491075,187.8,112,8
491077,418.05,162,65
491078,259.11,137,20
491079,588.85,171,17
491081,308.0,102,15
491082,1248.3,533,37
491083,322.98,150,41
491085,130.6,12,6
491086,267.26,143,32
491089,200.24,64,14
491090,351.45,123,12
491091,3249.32,1544,42
491092,844.12,351,50
491093,1196.68,362,17
491094,216.0,1,1
491095,135.0,44,6
491096,175.95000000000002,85,9
491097,338.13,216,32
491098,179.78,67,23
491100,63.5,14,4
491101,283.88,202,34
491102,50.55,15,3
491103,163.26,174,9
491104,1552.9,322,7
491105,207.58,139,37
491109,143.36,104,22
491111,316.62,183,34
491112,174.33,111,6
491113,890.38,430,120
491116,301.57,139,13
491118,554.99,369,67
491122,601.6,412,21
491123,377.06,382,44
491124,327.38,362,17
491125,966.24,424,14
491126,389.34000000000003,274,21
491127,256.2,68,11
491129,50.7,12,2
491131,1.7,2,1
491132,171.60000000000002,72,7
491133,480.0,1500,1
491136,343.52,504,13
491138,179.85,75,4
491143,476.03999999999996,52,2
491144,873.48,228,19
491145,135.0,44,7
491146,178.98000000000002,94,13
491147,34.3,20,7
491148,3882.66,2604,26
491149,289.92,360,9
491150,435.6,240,6
491151,661.16,260,8
491152,436.8,124,6
491153,300.35,147,16
491154,289.85,123,14
491158,275.73,270,13
491159,291.0,140,4
491160,377.57,147,19
491161,109.35,37,3
491163,179.6,72,8
491164,33.55,17,14
491165,737.7,422,14
491169,8.5,10,1
491170,328.99,415,35
491171,203.85000000000002,55,20
491172,730.59,450,10
491173,248.49,151,27
491174,228.96,216,1
491175,347.54,169,9
491176,1213.02,1,1
491177,105.78,270,6
491178,384.49,199,35
491180,294.52000000000004,139,30
491181,592.2,124,8
491182,190.3,38,8
491183,945.58,518,56
491184,139.85000000000002,3,2
491185,421.17,208,29
491186,269.72,137,66
491187,97.5,50,5
491188,79.15,27,17
491189,31.200000000000003,48,1
491191,71.78999999999999,59,5
491192,509.3,133,35
491193,762.98,872,23
491194,302.70000000000005,110,11
491195,658.5,182,13
491196,165.5,34,2
491197,126.57,143,23
491198,95.55,27,6
491199,143.72,111,23
491200,165.0,100,1
491201,413.1,114,4
491203,580.15,97,10
491204,195.23,165,40
491205,1361.91,910,43
491207,105.75999999999999,97,12
491209,278.08,156,46
491210,785.62,256,40
491211,1766.28,740,37
491212,873.61,1448,17
491226,448.2,644,15
491235,307.2,182,10
491238,170.45,133,12
491240,910.76,374,19
491247,436.4,352,12
491314,1505.4,924,6
491317,683.91,331,45
491318,369.6,96,2
491319,181.63,73,12
491320,178.2,108,2
491321,834.25,491,57
491340,517.7,520,56
491356,282.03000000000003,375,14
491358,99.6,29,12
491368,164.31,84,18
491385,328.7,102,5
491394,388.52,118,39
491395,204.26,42,23
491396,427.86,272,35
491397,155.79,67,27
491399,171.5,56,14
491400,427.52,260,22
491401,218.05,193,16
491403,588.83,265,43
491405,70.80000000000001,24,1
491406,787.92,481,129
491407,130.62,114,10
491408,133.75,25,7
491421,208.9,45,38
491422,864.89,687,33
491424,177.91,35,14
491425,221.85,67,18
491426,893.61,714,64
491427,583.7,306,55
491429,375.66,114,18
491431,1980.0,1200,7
491432,325.64,104,19
491433,233.10000000000002,106,7
491434,327.32,260,15
491435,243.87,83,47
491436,10.14,6,1
491437,439.18,146,6
491438,375.18,146,13
491439,306.0,120,1
491440,1350.0,1080,1
491442,102.0,40,1
491443,574.07,195,17
491444,41.89,19,2
491445,122.94999999999999,50,23
491447,15.9,2,1
491448,444.58,243,26
491449,1579.8,502,33
491450,634.88,540,10
491452,222.05,70,29
491453,86.75,27,15
491454,218.44,80,10
491456,11016.0,3672,7
491457,362.93,152,56
491462,718.83,245,13
491463,7.5,2,2
491464,52.8,96,1
491465,350.68,380,14
491468,1107.95,625,50
491474,217.34,110,25
491479,391.16,161,37
491497,899.64,438,13
491498,203.64000000000001,76,17
491506,191.18,62,30
491508,348.6,188,8
491516,51.27,4,2
491528,299.74,135,36
491554,198.76999999999998,109,10
491555,513.54,542,21
491570,811.76,704,20
491584,522.44,306,44
491586,117.96000000000001,60,4
491587,500.0,400,1
491603,539.47,277,25
491607,289.53000000000003,135,12
491612,849.9399999999999,1086,17
491613,249.09,107,32
491622,466.92,247,70
491625,615.3,110,7
491627,460.3,358,16
491629,308.81,343,16
491630,435.27,206,56
491631,160.55,37,8
491633,465.41999999999996,200,29
491634,540.18,302,113
491635,1323.86,1946,22
491636,270.18,360,19
491637,638.52,523,21
491640,397.02,142,53
491642,339.87,268,62
491643,1056.86,622,17
491644,100.55,35,14
491645,146.39,87,41
491646,641.51,211,13
491647,15.5,10,1
491648,214.09,41,10
491649,549.08,134,4
491651,356.55,111,10
491652,510.36,155,51
491653,164.48000000000002,125,13
491654,469.49,215,45
491655,15.5,10,1
491656,344.65,170,28
491658,155.06,61,37
491659,416.82,229,24
491660,149.7,66,23
491661,326.4,128,1
491662,356.17,225,48
491663,90.95,53,17
491664,450.71,274,36
491665,1177.1100000000001,645,44
491666,335.98,328,23
491667,116.26,60,50
491668,370.2,84,6
491669,71.78999999999999,48,23
491670,650.88,312,10
491671,505.13,298,44
491672,336.82,382,14
491673,124.6,88,26
491674,591.48,528,21
491675,361.37,247,58
491677,15.0,12,1
491678,300.42,188,16
491679,145.06,68,35
491680,244.79999999999998,96,2
491681,272.4,71,20
491682,21.95,1,1
491683,359.0,179,56
491684,209.9,131,30
491685,5.1,2,1
491686,452.5,184,26
491687,588.4,332,8
491688,197.98,58,39
491690,511.64,318,15
491691,386.73,285,33
491692,828.34,427,35
491694,228.34,93,17
491695,106.65,41,31
491696,56.45,123,3
491697,489.62,216,40
491698,1014.54,650,46
491699,286.28,246,18
491700,507.65,283,57
491701,123.43,109,34
491703,399.79999999999995,299,34
491704,65.10000000000001,18,3
491706,15.3,6,1
491707,98.25,31,10
491708,100.8,48,1
491709,147.99,34,4
491710,258.3,157,15
491711,313.64,86,15
491712,358.56,493,26
491713,545.1,66,3
491714,512.8100000000001,325,84
491715,233.42000000000002,231,15
491716,217.79999999999998,146,16
491717,204.73,148,56
491718,181.51,147,11
491719,334.46,130,43
491720,261.7,121,25
491721,348.34,176,38
491722,292.98,384,15
491724,122.95,29,18
491725,45.0,10,1
491726,1066.3600000000001,446,67
491729,171.82,142,13
491730,252.12,84,16
491731,228.6,72,9
491733,366.4,100,7
491734,950.0,486,10
491735,225.8,158,15
491736,756.51,346,27
491737,31.93,17,4
491738,1286.43,903,65
491742,22.5,5,1
491743,597.56,184,9
491744,22.5,5,1
491745,66.75,20,5
491746,327.71,93,27
491747,187.7,48,13
491748,319.38,126,6
491750,572.05,90,34
491751,196.92,124,12
491752,309.3,362,11
491753,318.85,160,11
491754,38.660000000000004,23,4
491755,79.94999999999999,37,8
491756,318.36,138,18
491757,705.5999999999999,504,1
491758,398.96,239,63
491759,15.0,12,1
491760,170.04999999999998,21,4
491780,615.22,338,29
491782,162.25,63,8
491784,675.05,202,25
491800,5259.17,2979,68
491803,698.61,412,96
491804,112.64,67,18
491805,1333.1100000000001,897,60
491806,8.95,1,1
491807,157.32999999999998,59,17
491809,266.98,477,36
491810,619.67,507,19
491811,290.15,121,27
491812,13854.2,20524,113
491813,157.5,126,1
491814,310.43,233,23
491815,177.84,468,1
491816,1550.07,724,63
491825,414.36,256,25
491826,850.8299999999999,269,7
491828,409.2,216,4
491829,325.44,96,1
491831,137.73,68,32
491832,132.51,139,9
491833,370.77,177,90
491834,197.05,53,29
491840,129.6,100,17
491861,266.02,89,25
491868,431.98,180,21
491888,617.55,320,55
491893,271.05,162,65
491894,1126.81,480,16
491923,307.24,190,16
491924,686.13,284,49
491935,689.71,343,64
491941,70.80000000000001,48,2
491949,53.2,4,2
491950,238.05,101,16
491951,921.21,926,73
491953,2308.5,1452,14
491954,88.5,34,6
491955,50.400000000000006,24,1
491956,381.4,158,21
491957,149.5,40,4
491958,99.86,27,3
491959,109.31,55,17
491960,659.4,332,25
491961,1456.2,588,24
491963,93.35,21,6
491964,45.300000000000004,10,3
491965,497.65,169,31
491967,360.61,251,34
491979,891.41,201,12
491980,227.72,164,6
491981,381.22,156,19
491982,154.69,221,6
491983,415.49,189,20
491984,306.54,146,19
491986,495.0,300,1
491987,62.31,43,4
491988,429.66,94,7
491991,27.0,4,2
491992,57.9,16,4
491993,304.7,72,12
491994,306.40000000000003,158,20
491995,367.75,161,9
491996,1337.0,840,6
491997,292.31,152,31
491998,297.86,78,15
491999,310.87,217,20
492003,253.42000000000002,70,16
492004,847.0,448,26
492005,2320.2,1016,9
492007,169.5,10,1
492008,61.199999999999996,72,4
492009,174.65,45,15
492011,253.64,164,7
492012,675.12,293,50
492014,13.5,2,1
492015,1413.34,638,58
492016,179.36,60,13
492017,394.41999999999996,142,4
492018,531.3,185,35
492020,414.78000000000003,202,17
492021,208.8,144,1
492022,216.0,300,1
492035,285.22,180,18
492039,301.9,58,11
492051,870.84,364,21
492064,558.17,225,70
492071,6.75,1,1
492073,1500.46,338,6
492074,377.49,381,27
492075,474.06,436,75
492076,152.0,64,2
492077,290.72,176,31
492078,137.03,55,30
492079,324.8,132,14
492080,308.38,198,6
492092,698.2,321,42
492098,2343.72,1086,24
492117,1017.78,326,37
492125,146.45999999999998,582,3
492127,538.77,280,16
492133,1737.2,1016,4
492153,205.73,89,24
492168,391.55,245,27
492169,823.8100000000001,361,61
492170,138.22,110,5
492172,327.91,139,19
492173,316.39,121,15
492174,478.15999999999997,856,11
492175,182.25,49,9
492176,453.78000000000003,196,68
492177,598.2,83,11
492178,340.39,209,28
492179,24.63,22,7
492181,380.78,158,11
492185,960.0,3000,1
492202,743.61,829,22
492203,204.0,48,1
492204,322.92,228,13
492208,334.14,239,16
492209,236.17,69,50
492210,263.4,60,1
492214,301.16,204,19
492216,939.21,1116,41
492218,297.86,138,11
492220,191.72,79,47
492221,288.88,400,9
492222,187.84,72,11
492223,179.0,24,7
492224,801.3000000000001,261,9
492225,1084.08,676,16
492227,334.5,270,8
492228,343.66,270,13
492229,388.74,206,9
492230,60.48,144,1
492231,53.0,16,3
492232,61.45,3,3
492233,126.5,22,6
492234,297.4,224,11
492235,155.34,258,7
492236,2156.0,539,6
492237,3480.0,870,7
492238,520.46,276,10
492239,313.8,44,6
492240,575.64,166,10
492241,969.66,977,62
492242,321.65,141,18
492244,435.5,159,18
492245,243.86,209,18
492246,1226.79,597,31
492247,307.15,79,14
492248,511.2,138,7
492249,243.65,95,15
492250,462.95,114,17
492251,825.32,408,49
492252,357.0,230,14
492253,223.70000000000002,154,11
492269,855.45,475,20
492270,96.3,55,5
492271,68.7,26,3
